participant_id	original_participant_id	species	sex
sub-740370185	sub-740370185	Mus musculus	M
sub-740370195	sub-740370195	Mus musculus	M
sub-743050319	sub-743050319	Mus musculus	M
sub-743050332	sub-743050332	Mus musculus	F
sub-743050344	sub-743050344	Mus musculus	F
sub-743050366	sub-743050366	Mus musculus	F
sub-743050389	sub-743050389	Mus musculus	F
sub-743050401	sub-743050401	Mus musculus	F
sub-743050413	sub-743050413	Mus musculus	M
sub-743050689	sub-743050689	Mus musculus	M
sub-743050716	sub-743050716	Mus musculus	M
sub-743050742	sub-743050742	Mus musculus	M
sub-746220061	sub-746220061	Mus musculus	M
sub-746220071	sub-746220071	Mus musculus	M
sub-746220081	sub-746220081	Mus musculus	F
sub-746220091	sub-746220091	Mus musculus	M
sub-746220101	sub-746220101	Mus musculus	F
sub-746220113	sub-746220113	Mus musculus	M
sub-746220123	sub-746220123	Mus musculus	M
sub-746220133	sub-746220133	Mus musculus	M
sub-746220143	sub-746220143	Mus musculus	M
sub-746220153	sub-746220153	Mus musculus	F
sub-746220165	sub-746220165	Mus musculus	F
sub-746220175	sub-746220175	Mus musculus	M
sub-746220185	sub-746220185	Mus musculus	M
sub-746220755	sub-746220755	Mus musculus	F
sub-746220783	sub-746220783	Mus musculus	F
sub-746220809	sub-746220809	Mus musculus	M
sub-749940646	sub-749940646	Mus musculus	F
sub-750787635	sub-750787635	Mus musculus	M
sub-750787647	sub-750787647	Mus musculus	M
sub-750787657	sub-750787657	Mus musculus	F
sub-750787667	sub-750787667	Mus musculus	F
sub-750787689	sub-750787689	Mus musculus	M
sub-750787701	sub-750787701	Mus musculus	F
sub-750787711	sub-750787711	Mus musculus	M
sub-750787721	sub-750787721	Mus musculus	F
sub-750787733	sub-750787733	Mus musculus	M
sub-750787758	sub-750787758	Mus musculus	F
sub-750787982	sub-750787982	Mus musculus	M
